"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1974435913603444986","Sun Oct 05 01:01:19 +0000 2025","0","@kaedchara egk jadi semalem aku tidur cape nugas","1974641012564955556","","kaedchara","in","","0","1","0","https://x.com/undefined/status/1974641012564955556","1350980420175863814",
"1974503524324319329","Sat Oct 04 15:54:59 +0000 2025","0","Kalau cape nugas bawaanya pengen punya cowo yang bisa nemenin gitu tapiiiii manaaaa","1974503524324319329","","","in","","0","0","0","https://x.com/undefined/status/1974503524324319329","1841461915085934592",
"1974493347466416322","Sat Oct 04 15:19:24 +0000 2025","0","@meddiected sibuk nugas sampe cape wkwkw","1974494568226972145","","meddiected","in","","0","1","0","https://x.com/undefined/status/1974494568226972145","1959199413001506816",
"1974490995116130603","Sat Oct 04 15:05:12 +0000 2025","0","IYA LAGI CAPE NUGAS Baru kelar ngerjain UTS video (baru take) ini mau lanjut ngedit terus deadlinenya besok jam 12 STRESSS ABIEEZZ @M_OlineJKT48","1974490995116130603","","","in","","0","0","0","https://x.com/undefined/status/1974490995116130603","1187584153165807617",
"1974485481195962847","Sat Oct 04 14:43:17 +0000 2025","0","Jungwon live tp aku udah ga ada tenaga...cape bgt nugas dari kmrn","1974485481195962847","","","in","","0","0","0","https://x.com/undefined/status/1974485481195962847","1794053762316922882",
"1974442376946229733","Sat Oct 04 11:52:00 +0000 2025","0","CAPE X NUGAS","1974442376946229733","","","in","","1","0","0","https://x.com/undefined/status/1974442376946229733","1788361658936782848",
"1974428139414856130","Sat Oct 04 10:55:26 +0000 2025","3","malem ini nugas ngga yaaaa. kalo nurutin cape pasti cape terus tapi minggu ini aku belum berprogres wkwk","1974428139414856130","","","in","","0","3","0","https://x.com/undefined/status/1974428139414856130","1244832831785668609",
"1974412847695446206","Sat Oct 04 09:54:40 +0000 2025","0","aku hari ini ngerasa cape banget nugas dari semalem belum tidur terus ini baru pulang kerja juga tapi masyaAllah.. ada aja yang bikin seneng kaya murid muridku tiba-tiba ngasih pie menurutku lucuuu terus dikasih roti &amp; mam sama mbah yang nyewain tempat buat les","1974412847695446206","","","in","","0","0","0","https://x.com/undefined/status/1974412847695446206","1608050486929940481",
"1974346656641659214","Sat Oct 04 05:31:39 +0000 2025","1","Gmn ya urgteh ngerasa urg hatus bgt gawe tapi di sisi lain urg harus nugas dan urg cape bgt tapi urg butuh bgt duit","1974346656641659214","","","in","","0","3","0","https://x.com/undefined/status/1974346656641659214","1141037525881896960",
"1974343558699364801","Sat Oct 04 05:19:20 +0000 2025","0","cape bro energinya abis grgr bersihin kos.. gamau nugas","1974343558699364801","","","in","","0","0","0","https://x.com/undefined/status/1974343558699364801","1469960470626897920",
"1973551063593820301","Thu Oct 02 00:50:15 +0000 2025","0","bangun tidur bukannya seger malah lgsg cape soalnya udh kebayang hari ini bakal nugas terus","1973551063593820301","","","in","","0","0","0","https://x.com/undefined/status/1973551063593820301","1575468660520816640",
"1973441711662874958","Wed Oct 01 17:35:43 +0000 2025","41","cape bgt gue nugas ‍ https://t.co/clxKQSe1m5","1973441711662874958","https://pbs.twimg.com/media/G2MSxldbUAAx-cK.jpg","","in","","0","11","0","https://x.com/undefined/status/1973441711662874958","1599304051543670784",
"1973426850543354294","Wed Oct 01 16:52:25 +0000 2025","0","@gaonmusang nggaaa pulang maghrib tdi cuma krna cape jdi aku tidurr bangun jam set 10 lanjut nugas dikitt trus cuci muka gosok gigi baru skrg megang hp","1973430816677175340","","gaonmusang","in","","0","1","0","https://x.com/undefined/status/1973430816677175340","1918528309077655552",
